ID,Term,Aliases / Related labels,Category,Subcategory,Plain-English meaning,Mechanical role,Typical value / unit,Design notes / distinctions,Example systems,Scope,Source keys,Primary source URL,Additional source URLs,Added,Search tags
WG-0001,Model,miniature; figure,Game object,Physical piece,"A single playing piece representing one combatant, vehicle, creature or other entity.",Primary atomic game object,,Distinguish the physical miniature from its rules profile when precision matters.,40K; AoS; Malifaux; Infinity,Generic / cross-system,40K-QS;AOS;MALIFAUX;INF-WIKI,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://malifauxrules.com/rules/sections/2-glossary | https://infinitythewiki.com/Introduction,2026-09-23,model miniature; figure game object physical piece
WG-0002,Miniature,model; figure,Game object,Physical piece,A physical representation used on the tabletop.,Physical representation,,"Often interchangeable with model, but some rules use model as the rules object and miniature as the physical piece.",Legion; 40K,Generic / cross-system,LEGION;40K-QS,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,2026-09-23,miniature model; figure game object physical piece
WG-0003,Unit,squad; group; element,Game object,Grouping,"One or more models treated as a rules group for activation, targeting, movement or scoring.",Groups multiple models into one game entity,,"Define whether attacks, movement and conditions apply per model or per unit.",40K; AoS; Legion; Kings of War,Generic / cross-system,40K-QS;AOS;LEGION;KOW,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2020/04/KoW-3-Free-Rules-Download.pdf,2026-09-23,unit squad; group; element game object grouping
WG-0004,Trooper,model; soldier,Game object,Combatant,A rules term for an individual fighting game element.,Names an individual actor,,Useful where 'model' would be too physical or generic.,Infinity,System-specific but reusable,INF-N5;INF-WIKI,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,https://infinitythewiki.com/Introduction,2026-09-23,trooper model; soldier game object combatant
WG-0005,Character,hero; leader; named model,Game object,Special model,"A model with individual identity or special rules, often operating differently from ordinary troops.",Marks exceptional pieces,,"May interact with bodyguards, leaders, command ranges or unique limits.",40K; MCP; Malifaux,Generic / cross-system,40K-QS;MCP;MALIFAUX,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://www.atomicmassgames.com/mcp-rules/ | https://malifauxrules.com/rules/sections/2-glossary,2026-09-23,character hero; leader; named model game object special model
WG-0006,Leader,commander; officer,Game object,Command,"A model or unit designated to command, attach to or influence others.",Creates command hierarchy,,Separate 'leader as list-building role' from 'leader as battlefield aura source'.,40K; Legion; Bolt Action,Generic / cross-system,40K-QS;LEGION;BOLT,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://warlord-community.warlordgames.com/bolt-action-third-edition-digital-resources/,2026-09-23,leader commander; officer game object command
WG-0007,Controller,controlling player,Rules relation,Control,The player currently making decisions for a game object.,Determines decision authority,,Controller can differ from owner in mind-control or temporary-control effects.,Malifaux,Generic / cross-system,MALIFAUX,https://malifauxrules.com/rules/sections/2-glossary,,2026-09-23,controller controlling player rules relation control
WG-0008,Owner,owning player,Rules relation,Ownership,The player to whom a game object belongs for persistent ownership purposes.,Tracks persistent ownership,,Keep distinct from controller when effects can seize control.,Malifaux,Generic / cross-system,MALIFAUX,https://malifauxrules.com/rules/sections/2-glossary,,2026-09-23,owner owning player rules relation ownership
WG-0009,Friendly,friendly model; friendly unit; allied side,Rules relation,Alignment,Belonging to the same side or force for the rule being resolved.,Filters legal targets/effects,,Define whether friendly includes the source itself.,Malifaux; 40K; Infinity,Generic / cross-system,MALIFAUX;40K-QS;INF-N5,https://malifauxrules.com/rules/sections/2-glossary,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,2026-09-23,friendly friendly model; friendly unit; allied side rules relation alignment
WG-0010,Enemy,enemy model; hostile unit,Rules relation,Alignment,Belonging to an opposing side for the rule being resolved.,Filters targets and interactions,,Do not assume 'not friendly' always equals enemy if neutral objects exist.,Malifaux; 40K; Infinity,Generic / cross-system,MALIFAUX;40K-QS;INF-N5,https://malifauxrules.com/rules/sections/2-glossary,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,2026-09-23,enemy enemy model; hostile unit rules relation alignment
WG-0011,Ally,allied model; allied unit,Rules relation,Alignment,"A friendly game element meeting an additional relationship condition, such as shared faction or keyword.",Narrower friendly relation,,Useful when some friendly models should not receive faction-specific synergies.,Malifaux; Infinity,Generic / cross-system,MALIFAUX;INF-N5,https://malifauxrules.com/rules/sections/2-glossary,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,2026-09-23,ally allied model; allied unit rules relation alignment
WG-0012,Neutral,uncontrolled; neutral element,Rules relation,Alignment,A game element belonging to neither opposing force.,Supports scenario objects/third parties,,"Define whether neutral objects can be targeted, controlled or destroyed.",Infinity; scenario games,Generic / cross-system,INF-N5,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,,2026-09-23,neutral uncontrolled; neutral element rules relation alignment
WG-0013,Hostile,hostile element,Rules relation,Alignment,A non-player or third-party element treated as an enemy for attacks or interactions.,Third-party opposition,,"Useful for wildlife, hazards, NPCs or automated defences.",Infinity,Generic / cross-system,INF-N5,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,,2026-09-23,hostile hostile element rules relation alignment
