term_id,canonical_term,category,subcategory,definition,mechanical_role,typical_value_unit,design_notes,scope,added,search_tags
WG-0001,Model,Game object,Physical piece,"A single playing piece representing one combatant, vehicle, creature or other entity.",Primary atomic game object,,Distinguish the physical miniature from its rules profile when precision matters.,Generic / cross-system,2026-09-23,model miniature; figure game object physical piece
WG-0002,Miniature,Game object,Physical piece,A physical representation used on the tabletop.,Physical representation,,"Often interchangeable with model, but some rules use model as the rules object and miniature as the physical piece.",Generic / cross-system,2026-09-23,miniature model; figure game object physical piece
WG-0003,Unit,Game object,Grouping,"One or more models treated as a rules group for activation, targeting, movement or scoring.",Groups multiple models into one game entity,,"Define whether attacks, movement and conditions apply per model or per unit.",Generic / cross-system,2026-09-23,unit squad; group; element game object grouping
WG-0004,Trooper,Game object,Combatant,A rules term for an individual fighting game element.,Names an individual actor,,Useful where 'model' would be too physical or generic.,System-specific but reusable,2026-09-23,trooper model; soldier game object combatant
WG-0005,Character,Game object,Special model,"A model with individual identity or special rules, often operating differently from ordinary troops.",Marks exceptional pieces,,"May interact with bodyguards, leaders, command ranges or unique limits.",Generic / cross-system,2026-09-23,character hero; leader; named model game object special model
WG-0006,Leader,Game object,Command,"A model or unit designated to command, attach to or influence others.",Creates command hierarchy,,Separate 'leader as list-building role' from 'leader as battlefield aura source'.,Generic / cross-system,2026-09-23,leader commander; officer game object command
WG-0007,Controller,Rules relation,Control,The player currently making decisions for a game object.,Determines decision authority,,Controller can differ from owner in mind-control or temporary-control effects.,Generic / cross-system,2026-09-23,controller controlling player rules relation control
WG-0008,Owner,Rules relation,Ownership,The player to whom a game object belongs for persistent ownership purposes.,Tracks persistent ownership,,Keep distinct from controller when effects can seize control.,Generic / cross-system,2026-09-23,owner owning player rules relation ownership
WG-0009,Friendly,Rules relation,Alignment,Belonging to the same side or force for the rule being resolved.,Filters legal targets/effects,,Define whether friendly includes the source itself.,Generic / cross-system,2026-09-23,friendly friendly model; friendly unit; allied side rules relation alignment
WG-0010,Enemy,Rules relation,Alignment,Belonging to an opposing side for the rule being resolved.,Filters targets and interactions,,Do not assume 'not friendly' always equals enemy if neutral objects exist.,Generic / cross-system,2026-09-23,enemy enemy model; hostile unit rules relation alignment
WG-0011,Ally,Rules relation,Alignment,"A friendly game element meeting an additional relationship condition, such as shared faction or keyword.",Narrower friendly relation,,Useful when some friendly models should not receive faction-specific synergies.,Generic / cross-system,2026-09-23,ally allied model; allied unit rules relation alignment
WG-0012,Neutral,Rules relation,Alignment,A game element belonging to neither opposing force.,Supports scenario objects/third parties,,"Define whether neutral objects can be targeted, controlled or destroyed.",Generic / cross-system,2026-09-23,neutral uncontrolled; neutral element rules relation alignment
WG-0013,Hostile,Rules relation,Alignment,A non-player or third-party element treated as an enemy for attacks or interactions.,Third-party opposition,,"Useful for wildlife, hazards, NPCs or automated defences.",Generic / cross-system,2026-09-23,hostile hostile element rules relation alignment
WG-0014,Target,Rules process,Targeting,"The game element chosen to receive an attack, action or effect.",Identifies recipient of an effect,,Specify target eligibility before costs and dice are committed.,Generic / cross-system,2026-09-23,target selected target; defender rules process targeting
WG-0015,Attacker,Rules relation,Combat,"The model, unit or player initiating an attack.",Identifies source of combat resolution,,May differ from active model when reactions or controlled attacks exist.,Generic / cross-system,2026-09-23,attacker initiator; attacking model/unit rules relation combat
WG-0016,Defender,Rules relation,Combat,The model or unit defending against an attack or opposed effect.,Identifies defensive participant,,Some games define defender only after a legal target is declared.,Generic / cross-system,2026-09-23,defender resister; target rules relation combat
WG-0017,Profile,Game data,Profile,The structured rules data describing a model or unit.,Holds characteristics and abilities,,Keep profile identity separate from the physical model and from army-list entry.,Generic / cross-system,2026-09-23,profile stat line; datasheet; warscroll; stat card; unit profile game data profile
WG-0018,Characteristic,Game data,Statistic,A named numerical or categorical property used by the rules.,Stores reusable game data,,"Examples include Move, Health, Defence, Control, Skill or Armour.",Generic / cross-system,2026-09-23,characteristic attribute; stat; value game data statistic
WG-0019,Keyword,Rules language,Tagging,"A short label attached to an object, rule or ability so other rules can reference a class of things.",Creates machine-like rule hooks,,"A keyword can mean faction identity, unit type or a mechanical ability; record which kind you mean.",Generic / cross-system,2026-09-23,keyword tag; trait; label rules language tagging
WG-0020,Trait,Rules language,Tagging,A named property that modifies how an object or effect behaves.,Reusable rules hook,,Often used for weapon or equipment behaviour rather than identity.,Generic / cross-system,2026-09-23,trait tag; property rules language tagging
WG-0021,Label,Rules language,Tagging,A classification attached to a rule to group it with related rules.,Rule grouping,,"Useful for interactions such as 'Movement', 'Attack' or 'Comms'.",Generic / cross-system,2026-09-23,label tag rules language tagging
WG-0022,Ability,Rules language,Rule object,"A discrete rule a model, unit, card or scenario can use or possess.",Packages behaviour,,"For clean design, give each ability timing, trigger/declare step, target, cost and effect.",Generic / cross-system,2026-09-23,ability special rule; power; skill rules language rule object
WG-0023,Action,Rules language,Action economy,A discrete thing a model or unit may perform during activation.,Consumes action economy,,Define whether movement itself is an action and whether actions can repeat.,Generic / cross-system,2026-09-23,action order; activity rules language action economy
WG-0024,Effect,Rules language,Resolution,"The mechanical change produced by a rule, action or ability.",Applies game-state change,,Separate effect from trigger and cost to reduce timing ambiguity.,Generic / cross-system,2026-09-23,effect result; outcome rules language resolution
WG-0025,Cost,Rules language,Cost,A resource or condition paid to use an action or ability.,Constrains use,,State whether a cost is paid before target validation and whether it is refunded on failure.,Generic / cross-system,2026-09-23,cost spend; requirement rules language cost
WG-0026,Requirement,Rules language,Eligibility,"A condition that must be true before an action, attack or rule may be used.",Gates legality,,Keep requirements separate from costs and effects.,Generic / cross-system,2026-09-23,requirement prerequisite; condition rules language eligibility
WG-0027,Restriction,Rules language,Eligibility,A condition that forbids or narrows otherwise legal choices.,Gates legality,,Target restrictions are easier to parse when listed explicitly.,Generic / cross-system,2026-09-23,restriction limitation; prohibition rules language eligibility
WG-0028,Eligible,Rules language,Eligibility,"Currently permitted to perform, be selected by or receive a rule.",Legality test,,"Use consistently instead of alternating between 'may', 'can' and 'able to'.",Generic / cross-system,2026-09-23,eligible legal; valid rules language eligibility
WG-0029,Resolve,Rules language,Resolution,To execute the mechanical steps and outcomes of a declared rule.,Timing verb,,"Useful paired with Declare: declare first, then resolve.",Generic / cross-system,2026-09-23,resolve apply; carry out rules language resolution
WG-0030,Declare,Rules language,Timing,To commit to an action or ability and identify required choices before its effect is resolved.,Timing and commitment,,"Good rules specify what is chosen at declaration: source, target, mode, weapon and costs.",Generic / cross-system,2026-09-23,declare announce; choose rules language timing
WG-0031,Trigger,Rules language,Timing,An event or condition that causes a rule to become available or fire automatically.,Event hook,,"Differentiate 'when', 'after', 'before' and 'at the start/end of'.",Generic / cross-system,2026-09-23,trigger when; whenever; after rules language timing
WG-0032,Reaction,Rules language,Timing,An action or effect used in response to another player's action rather than only on your own turn.,Creates interactivity,,Define response windows and whether multiple reactions can stack.,Generic / cross-system,2026-09-23,reaction interrupt; response; aro; overwatch rules language timing
WG-0033,Timing,Rules language,Timing,The point in the sequence when a rule may or must occur.,Orders simultaneous effects,,A formal timing hierarchy prevents most rules disputes.,Generic / cross-system,2026-09-23,timing timing window; step rules language timing
WG-0034,Rules priority,Rules language,Conflict resolution,A hierarchy deciding which rule wins when two instructions conflict.,Resolves contradictions,,Common pattern: specific overrides general; cards/scenarios may override core rules.,Generic / cross-system,2026-09-23,rules priority precedence; override rules language conflict resolution
WG-0035,Game,Turn structure,Whole game,A complete play session governed by one scenario or victory condition.,Top-level time structure,,,Generic / cross-system,2026-09-23,game battle; match turn structure whole game
WG-0036,Round,Turn structure,Round,"A major cycle containing turns, phases or activations from both sides.",Structures recurring play,,Round can mean one turn per player or a full activation cycle.,Generic / cross-system,2026-09-23,round battle round; game round turn structure round
WG-0037,Turn,Turn structure,Turn,A period in which one player is considered active or receives a major sequence of play.,Structures initiative,,Some games replace player turns with alternating unit activations.,Generic / cross-system,2026-09-23,turn player turn turn structure turn
WG-0038,Phase,Turn structure,Phase,A named portion of a turn or round dedicated to related activities.,Chunks rules timing,,"Examples: Command, Movement, Shooting, Charge, Fight.",Generic / cross-system,2026-09-23,phase step; phase of turn turn structure phase
WG-0039,Step,Turn structure,Step,"A smaller ordered part inside a phase, action or attack sequence.",Fine timing control,,Good for explicit attack pipelines and end-of-round cleanup.,Generic / cross-system,2026-09-23,step sub-step; timing step turn structure step
WG-0040,Activation,Turn structure,Activation,The window in which a selected model or unit acts.,Unit-level turn economy,,Core concept for alternating-activation games.,Generic / cross-system,2026-09-23,activation activate; activation phase turn structure activation
WG-0041,Active player,Turn structure,Active side,The player whose turn or timing priority is currently being resolved.,Assigns timing precedence,,,Generic / cross-system,2026-09-23,active player current player turn structure active side
WG-0042,Active model,Turn structure,Active piece,The model or unit currently taking its activation.,Defines source of actions,,,Generic / cross-system,2026-09-23,active model active unit; activated unit turn structure active piece
WG-0043,Initiative,Turn structure,Initiative,The mechanism deciding who acts first or has first choice in a round.,Orders players,,"Can be fixed, rolled, bid, card-driven or scenario-driven.",Generic / cross-system,2026-09-23,initiative priority; first player turn structure initiative
WG-0044,Priority,Turn structure,Initiative,The right to act first or resolve a contested timing choice first.,Orders players/effects,,,Generic / cross-system,2026-09-23,priority initiative; first player turn structure initiative
WG-0045,Alternating activation,Turn structure,Activation model,Players alternate activating individual units or models.,Controls tempo,,"Players alternate individual model/unit activations. Do not confuse this with I-go-you-go, where one player completes a larger turn sequence before the other.",Generic / cross-system,2026-09-23,alternating activation i-go-you-go by unit turn structure activation model
WG-0046,Random activation,Turn structure,Activation model,The next side or unit opportunity is determined by a random draw.,Creates uncertain tempo,,Frequently uses coloured dice or tokens in a bag.,Generic / cross-system,2026-09-23,random activation order-dice activation; bag draw turn structure activation model
WG-0047,Order,Turn structure,Activation command,An instruction assigned to a unit that determines its action or state.,Packages activation choice,,Order can be both the action chosen and the physical token marking it.,Generic / cross-system,2026-09-23,order command; order die turn structure activation command
WG-0048,Command,Turn structure,Command,A higher-level instruction or resource-driven rule influencing units.,Supports command layer,,"May be a phase, card, order, point-spend or aura depending on system.",Generic / cross-system,2026-09-23,command command ability; command action turn structure command
WG-0049,Pass,Turn structure,Pass,Choose not to take an available action or activation opportunity.,Tempo control,,Rules should state when passing is allowed and whether it ends a sequence.,Generic / cross-system,2026-09-23,pass skip; forgo activation turn structure pass
WG-0050,Ready,Turn structure,Readiness,"A state indicating a model, card or ability is available for use.",Tracks availability,,Opposite of exhausted/spent in many designs.,Generic / cross-system,2026-09-23,ready unexhausted; available turn structure readiness
WG-0051,Exhausted,Turn structure,Readiness,A state indicating an object or ability has been used and requires recovery before reuse.,Tracks limited reuse,,Distinguish card exhaustion from unit activation.,Generic / cross-system,2026-09-23,exhausted spent; used; tapped turn structure readiness
WG-0052,Refresh,Turn structure,Readiness,"Return spent resources, cards or abilities to an available state.",Resets action resources,,Often occurs in upkeep or end phase.,Generic / cross-system,2026-09-23,refresh ready; reset; recover turn structure readiness
WG-0053,End phase,Turn structure,Cleanup,"A phase that scores, removes temporary markers and resets state.",Game-state maintenance,,,Generic / cross-system,2026-09-23,end phase cleanup phase; end step turn structure cleanup
WG-0054,Once per turn,Turn structure,Usage limit,A frequency limit allowing one use during a turn.,Balances abilities,,"Specify per model, per unit, per player or per copy.",Generic / cross-system,2026-09-23,once per turn 1/turn turn structure usage limit
