term_id,alias
WG-0001,miniature
WG-0001,figure
WG-0002,model
WG-0002,figure
WG-0003,squad
WG-0003,group
WG-0003,element
WG-0004,model
WG-0004,soldier
WG-0005,hero
WG-0005,leader
WG-0005,named model
WG-0006,commander
WG-0006,officer
WG-0007,controlling player
WG-0008,owning player
WG-0009,friendly model
WG-0009,friendly unit
WG-0009,allied side
WG-0010,enemy model
WG-0010,hostile unit
WG-0011,allied model
WG-0011,allied unit
WG-0012,uncontrolled
WG-0012,neutral element
WG-0013,hostile element
WG-0014,selected target
WG-0014,defender
WG-0015,initiator
WG-0015,attacking model/unit
WG-0016,resister
WG-0016,target
WG-0017,stat line
WG-0017,datasheet
WG-0017,warscroll
WG-0017,stat card
WG-0017,unit profile
WG-0018,attribute
WG-0018,stat
WG-0018,value
WG-0019,tag
WG-0019,trait
WG-0019,label
WG-0020,tag
WG-0020,property
WG-0021,tag
WG-0022,special rule
WG-0022,power
WG-0022,skill
WG-0023,order
WG-0023,activity
WG-0024,result
WG-0024,outcome
WG-0025,spend
WG-0025,requirement
WG-0026,prerequisite
WG-0026,condition
WG-0027,limitation
WG-0027,prohibition
WG-0028,legal
WG-0028,valid
WG-0029,apply
WG-0029,carry out
WG-0030,announce
WG-0030,choose
WG-0031,when
WG-0031,whenever
WG-0031,after
WG-0032,interrupt
WG-0032,response
WG-0032,ARO
WG-0032,overwatch
WG-0033,timing window
WG-0033,step
WG-0034,precedence
WG-0034,override
WG-0035,battle
WG-0035,match
WG-0036,battle round
WG-0036,game round
WG-0037,player turn
WG-0038,step
WG-0038,phase of turn
WG-0039,sub-step
WG-0039,timing step
WG-0040,activate
WG-0040,activation phase
WG-0041,current player
WG-0042,active unit
WG-0042,activated unit
WG-0043,priority
WG-0043,first player
WG-0044,initiative
WG-0044,first player
WG-0045,alternate activation
WG-0045,unit-by-unit activation
WG-0046,order-dice activation
WG-0046,bag draw
WG-0047,command
WG-0047,order die
WG-0048,command ability
WG-0048,command action
WG-0049,skip
WG-0049,forgo activation
WG-0050,unexhausted
WG-0050,available
WG-0051,spent
WG-0051,used
WG-0051,tapped
WG-0052,ready
WG-0052,reset
WG-0052,recover
WG-0053,cleanup phase
WG-0053,end step
WG-0054,1/turn
WG-0055,1/round
WG-0056,limited
WG-0056,single use
WG-0057,bonus action
WG-0057,zero-action
WG-0058,actions per activation
WG-0059,AP
WG-0059,action resource
WG-0060,measurement
WG-0060,separation
WG-0061,weapon range
WG-0061,effect range
WG-0062,short
WG-0062,medium
WG-0062,long
WG-0062,extreme
WG-0063,close range
WG-0064,extended range
WG-0065,maximum band
WG-0066,dead zone
WG-0067,max range
WG-0068,close-range threshold
WG-0069,inside range
WG-0069,at most
WG-0070,completely within
WG-0071,outside range
WG-0072,base edge
WG-0072,footprint
WG-0073,base-to-base
WG-0073,B2B
WG-0074,volume
WG-0074,size template
WG-0075,Sz
WG-0075,scale
WG-0075,size class
WG-0076,Ht
WG-0076,elevation
WG-0077,orientation
WG-0078,front 180
WG-0078,frontal arc
WG-0079,flank arc
WG-0080,rear
WG-0080,back arc
WG-0081,weapon arc
WG-0081,fire arc
WG-0082,area
WG-0082,region
WG-0083,ZoC
WG-0083,control radius
