term_id,canonical_term,scope,publication_class,source_count
WG-0001,Model,Generic / cross-system,generic design concept,4
WG-0002,Miniature,Generic / cross-system,generic design concept,2
WG-0003,Unit,Generic / cross-system,generic design concept,4
WG-0004,Trooper,System-specific but reusable,game-specific label,2
WG-0005,Character,Generic / cross-system,generic design concept,3
WG-0006,Leader,Generic / cross-system,generic design concept,3
WG-0007,Controller,Generic / cross-system,generic design concept,1
WG-0008,Owner,Generic / cross-system,generic design concept,1
WG-0009,Friendly,Generic / cross-system,generic design concept,3
WG-0010,Enemy,Generic / cross-system,generic design concept,3
WG-0011,Ally,Generic / cross-system,generic design concept,2
WG-0012,Neutral,Generic / cross-system,generic design concept,1
WG-0013,Hostile,Generic / cross-system,generic design concept,1
WG-0014,Target,Generic / cross-system,generic design concept,3
WG-0015,Attacker,Generic / cross-system,generic design concept,2
WG-0016,Defender,Generic / cross-system,generic design concept,2
WG-0017,Profile,Generic / cross-system,generic design concept,4
WG-0018,Characteristic,Generic / cross-system,generic design concept,3
WG-0019,Keyword,Generic / cross-system,generic design concept,5
WG-0020,Trait,Generic / cross-system,generic design concept,1
WG-0021,Label,Generic / cross-system,generic design concept,1
WG-0022,Ability,Generic / cross-system,generic design concept,3
WG-0023,Action,Generic / cross-system,generic design concept,3
WG-0024,Effect,Generic / cross-system,generic design concept,2
WG-0025,Cost,Generic / cross-system,generic design concept,2
WG-0026,Requirement,Generic / cross-system,generic design concept,2
WG-0027,Restriction,Generic / cross-system,generic design concept,1
WG-0028,Eligible,Generic / cross-system,generic design concept,3
WG-0029,Resolve,Generic / cross-system,generic design concept,2
WG-0030,Declare,Generic / cross-system,generic design concept,2
WG-0031,Trigger,Generic / cross-system,generic design concept,3
WG-0032,Reaction,Generic / cross-system,generic design concept,3
WG-0033,Timing,Generic / cross-system,generic design concept,2
WG-0034,Rules priority,Generic / cross-system,generic design concept,2
WG-0035,Game,Generic / cross-system,generic design concept,3
WG-0036,Round,Generic / cross-system,generic design concept,3
WG-0037,Turn,Generic / cross-system,generic design concept,3
WG-0038,Phase,Generic / cross-system,generic design concept,2
WG-0039,Step,Generic / cross-system,generic design concept,2
WG-0040,Activation,Generic / cross-system,generic design concept,4
WG-0041,Active player,Generic / cross-system,generic design concept,2
WG-0042,Active model,Generic / cross-system,generic design concept,3
WG-0043,Initiative,Generic / cross-system,generic design concept,3
WG-0044,Priority,Generic / cross-system,generic design concept,2
WG-0045,Alternating activation,Generic / cross-system,generic design concept,2
WG-0046,Random activation,Generic / cross-system,generic design concept,2
WG-0047,Order,Generic / cross-system,generic design concept,3
WG-0048,Command,Generic / cross-system,generic design concept,3
WG-0049,Pass,Generic / cross-system,generic design concept,2
WG-0050,Ready,Generic / cross-system,generic design concept,1
WG-0051,Exhausted,Generic / cross-system,generic design concept,1
WG-0052,Refresh,Generic / cross-system,generic design concept,2
WG-0053,End phase,Generic / cross-system,generic design concept,2
WG-0054,Once per turn,Generic / cross-system,generic design concept,3
WG-0055,Once per round,Generic / cross-system,generic design concept,3
WG-0056,Once per game,Generic / cross-system,generic design concept,2
WG-0057,Free action,Generic / cross-system,generic design concept,1
WG-0058,Action limit,Generic / cross-system,generic design concept,2
WG-0059,Action point,Generic design term,generic design concept,2
WG-0060,Distance,Generic / cross-system,generic design concept,3
WG-0061,Range,Generic / cross-system,generic design concept,4
WG-0062,Range band,Generic / cross-system,generic design concept,3
WG-0063,Short range,Generic / cross-system,generic design concept,2
WG-0064,Long range,Generic / cross-system,generic design concept,2
WG-0065,Extreme range,Generic/common,generic design concept,1
WG-0066,Minimum range,Generic/common,generic design concept,2
WG-0067,Maximum range,Generic / cross-system,generic design concept,3
WG-0068,Half range,Generic / cross-system,generic design concept,1
WG-0069,Within,Generic / cross-system,generic design concept,2
WG-0070,Wholly within,Generic / cross-system,generic design concept,2
WG-0071,Not within,Generic / cross-system,generic design concept,1
WG-0072,Base,Generic / cross-system,generic design concept,3
WG-0073,Base contact,Generic / cross-system,generic design concept,3
WG-0074,Silhouette,"System-specific term, generic concept",game-specific label,1
WG-0075,Size,Generic / cross-system,generic design concept,3
WG-0076,Height,Generic / cross-system,generic design concept,2
WG-0077,Facing,Generic / cross-system,generic design concept,2
