term,phase,type,ruleset_scope,frequency,definition,abbreviation,usage_example,source_family,source_url
Detected Submarine,Detection,Information state,Modern General Quarters,Medium,A submarine whose presence has been successfully established and which is therefore handled openly by detection-dependent procedures.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Undetected Submarine,Detection,Information state,Modern General Quarters,Medium,A submarine that has not yet been successfully detected and is handled under concealed-information movement procedures.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Radar Detection,Detection,Sensor test,Modern General Quarters; Harpoon,Medium,Detection performed with radar rather than visual or acoustic sensing.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Sonar Detection,Detection,Sensor test,Modern General Quarters; Harpoon,Medium,Detection performed with sonar or other acoustic sensing against underwater contacts.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Visual Detection,Detection,Sensor test,Modern General Quarters; Admiralty Trilogy,Medium,Detection performed by direct observation rather than an electronic or acoustic sensor.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Air Defence Rating,Combat,Defence statistic,Modern General Quarters,Medium,A rating representing a platform's ability to engage hostile aircraft at air-defence ranges.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Point Defence Rating,Combat,Defence statistic,Modern General Quarters,Medium,A rating representing close-in defensive fire against aircraft or incoming threats.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Air-to-Air Combat Rating,Combat,Combat statistic,Modern General Quarters,Medium,A rating representing an aircraft's ability to attack other aircraft within a particular engagement band.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Local Air-Combat Range,Combat,Range band,Modern General Quarters,Medium,"The closest air-to-air engagement band, associated with dogfighting and short-ranged weapons.",,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Area Air-Combat Range,Combat,Range band,Modern General Quarters,Medium,An intermediate air-to-air engagement band between dogfight and long-range combat.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Long-Range Air Combat,Combat,Range band,Modern General Quarters,Medium,The outer air-to-air engagement band used by aircraft with sufficiently long-ranged weapons.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Combat Air Patrol,Air Operations,Air mission,Modern General Quarters; Admiralty Trilogy,Medium,Fighters assigned to patrol defensively and react to hostile aircraft or detected submarine threats.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Aircraft Defence Rating,Combat,Defence statistic,Modern General Quarters,Medium,A modifier representing how difficult an aircraft is to destroy in air-defence or air-to-air combat.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
ECM Aircraft,Detection,Electronic-warfare role,Modern General Quarters; Harpoon,Medium,An aircraft that protects a raid or nearby friendly aircraft by degrading hostile long- or area-range attacks.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Jettison Ordnance,Combat,Payload action,Modern General Quarters,Medium,An action in which an aircraft discards carried attack stores to remove restrictions associated with a loaded strike configuration.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Release Point,Combat,Attack position,Modern General Quarters,Medium,The position an aircraft must reach before releasing a missile or other stand-off weapon.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Turn Distance,Movement,Manoeuvre statistic,Modern General Quarters,Medium,The minimum forward distance or interval required between successive heading changes by an aircraft.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Maximum Height,Movement,Altitude statistic,Modern General Quarters,Medium,The highest altitude level or band an aircraft may occupy.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Accident Roll,Resolution,Hazard test,Modern General Quarters,Medium,A test for accidental loss when an aircraft operates in especially hazardous flight conditions.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Disbursement,Damage,Air-combat degradation,Modern General Quarters,Medium,A combat result that forces an aircraft to disengage or return home without necessarily destroying it.,,,NWS-MODERN-GQ,https://www.navalwargamessociety.org/fleet-data/modern-naval-rules/
Patrol Aircraft,Detection,Sensor platform,Harpoon / Admiralty Trilogy,Medium,"An aircraft used primarily to search for naval contacts with visual, radar, electronic-support or sonar sensors.",,,HARPOON5-OFFICIAL,https://www.admiraltytrilogy.com/harpoon.php
Electronic Support Measures,Detection,Passive sensor,Harpoon / Admiralty Trilogy,Medium,Passive electronic sensing used to detect or locate hostile electromagnetic emitters such as radars.,,,HARPOON5-OFFICIAL,https://www.admiraltytrilogy.com/harpoon.php
Radar Cross-Section,Detection,Signature statistic,Harpoon / Admiralty Trilogy,Medium,A measure or category representing how strongly a target reflects radar energy.,,,HARPOON-SUPPORT,https://www.admiraltytrilogy.com/gamesupport.php
Instrumented Range,Detection,Sensor limit,Harpoon / Admiralty Trilogy,Medium,A radar's technical upper detection limit imposed by its pulse timing rather than target visibility alone.,,,HARPOON-SUPPORT,https://www.admiraltytrilogy.com/gamesupport.php
Electronic Countermeasures,Detection,Electronic warfare,Harpoon / Admiralty Trilogy,Medium,"Electronic defensive measures that reduce the effectiveness of hostile sensors, missiles or long-range attacks.",,,HARPOON5-OFFICIAL,https://www.admiraltytrilogy.com/harpoon.php
