term_id,system_id
WG-0001,1
WG-0001,2
WG-0001,3
WG-0001,4
WG-0002,5
WG-0002,1
WG-0003,1
WG-0003,2
WG-0003,5
WG-0003,10
WG-0004,4
WG-0005,1
WG-0005,13
WG-0005,3
WG-0006,1
WG-0006,5
WG-0006,17
WG-0007,3
WG-0008,3
WG-0009,3
WG-0009,1
WG-0009,4
WG-0010,3
WG-0010,1
WG-0010,4
WG-0011,3
WG-0011,4
WG-0012,4
WG-0012,29
WG-0013,4
WG-0014,1
WG-0014,4
WG-0014,3
WG-0015,1
WG-0015,3
WG-0016,5
WG-0016,3
WG-0017,1
WG-0017,2
WG-0017,4
WG-0017,3
WG-0018,2
WG-0018,4
WG-0018,1
WG-0019,1
WG-0019,2
WG-0019,5
WG-0019,3
WG-0019,4
WG-0020,4
WG-0020,51
WG-0021,4
WG-0022,2
WG-0022,13
WG-0022,4
WG-0023,5
WG-0023,3
WG-0023,13
WG-0024,2
WG-0024,5
WG-0025,3
WG-0025,13
WG-0026,4
WG-0026,3
WG-0027,3
WG-0028,1
WG-0028,2
WG-0028,5
WG-0029,2
WG-0029,5
WG-0030,2
WG-0030,1
WG-0031,3
WG-0031,13
WG-0031,2
WG-0032,2
WG-0032,4
WG-0032,5
WG-0033,2
WG-0033,5
WG-0034,5
WG-0034,13
WG-0035,83
WG-0036,1
WG-0036,2
WG-0036,5
WG-0037,1
WG-0037,2
WG-0037,17
WG-0038,1
WG-0038,2
WG-0039,5
WG-0039,1
WG-0040,5
WG-0040,3
WG-0040,4
WG-0040,17
WG-0041,2
WG-0041,3
WG-0042,3
WG-0042,4
WG-0042,5
WG-0043,4
WG-0043,3
WG-0043,5
WG-0044,5
WG-0044,2
WG-0045,5
WG-0045,3
WG-0046,17
WG-0047,17
WG-0047,4
WG-0047,5
WG-0048,1
WG-0048,2
WG-0048,5
WG-0049,5
WG-0049,13
WG-0050,5
WG-0050,120
WG-0051,5
WG-0052,5
WG-0052,13
WG-0053,5
WG-0053,17
WG-0054,126
WG-0055,126
WG-0056,128
WG-0056,13
WG-0057,5
WG-0058,3
WG-0058,5
WG-0059,133
WG-0060,83
WG-0061,1
WG-0061,13
WG-0061,5
WG-0061,4
WG-0062,13
WG-0062,5
WG-0062,141
WG-0063,13
WG-0063,143
WG-0064,17
WG-0064,145
WG-0064,13
WG-0065,147
WG-0066,148
WG-0067,126
WG-0068,1
WG-0069,5
WG-0069,2
WG-0070,2
WG-0070,5
WG-0071,5
WG-0071,156
WG-0072,5
WG-0072,4
WG-0072,3
WG-0073,5
WG-0073,3
WG-0073,1
WG-0074,4
WG-0075,13
WG-0075,3
WG-0075,4
WG-0076,3
WG-0076,51
WG-0077,4
WG-0077,170
WG-0078,4
WG-0078,170
WG-0079,173
WG-0079,170
WG-0080,173
WG-0080,170
WG-0081,177
WG-0082,178
WG-0083,4
WG-0084,1
WG-0084,3
WG-0084,2
WG-0085,2
WG-0086,2
WG-0086,1
WG-0086,4
WG-0087,2
WG-0087,4
WG-0088,3
WG-0088,29
WG-0089,3
WG-0089,192
WG-0090,3
WG-0090,17
WG-0090,2
WG-0091,3
WG-0092,3
WG-0092,29
WG-0093,2
WG-0093,3
WG-0094,1
WG-0094,2
WG-0094,5
WG-0094,3
WG-0094,4
WG-0095,1
WG-0095,2
WG-0095,10
WG-0095,4
WG-0096,10
WG-0096,5
WG-0096,13
WG-0097,1
WG-0097,133
WG-0098,5
WG-0099,216
WG-0100,1
WG-0100,17
WG-0101,2
WG-0101,17
WG-0101,128
WG-0102,128
WG-0103,173
WG-0104,173
WG-0105,173
WG-0106,173
WG-0107,227
WG-0108,1
WG-0108,2
WG-0108,10
WG-0109,2
WG-0109,10
WG-0110,17
WG-0110,173
WG-0111,1
WG-0112,2
WG-0112,10
WG-0113,5
WG-0114,239
WG-0115,1
WG-0116,1
WG-0116,242
WG-0117,133
WG-0117,13
WG-0118,13
WG-0119,133
WG-0120,13
WG-0120,248
WG-0121,249
WG-0122,5
WG-0122,4
WG-0123,2
WG-0123,5
WG-0123,4
WG-0124,2
WG-0124,128
WG-0125,4
WG-0125,258
WG-0126,259
WG-0126,260
WG-0127,261
WG-0128,1
WG-0128,128
WG-0129,264
WG-0130,1
WG-0130,4
WG-0131,1
WG-0132,128
WG-0132,17
WG-0133,3
WG-0133,5
WG-0133,4
WG-0134,4
WG-0135,1
WG-0135,5
WG-0136,276
WG-0137,4
WG-0138,3
WG-0138,4
WG-0139,133
WG-0139,281
WG-0140,1
WG-0140,2
WG-0140,5
WG-0140,4
WG-0141,4
WG-0141,287
WG-0142,288
WG-0143,1
WG-0143,128
WG-0144,3
WG-0145,292
WG-0146,133
WG-0147,128
WG-0147,295
WG-0148,5
WG-0148,297
WG-0149,298
WG-0150,260
WG-0151,1
WG-0151,128
WG-0152,4
WG-0153,303
WG-0153,170
WG-0154,83
WG-0155,1
WG-0155,2
WG-0155,4
WG-0156,1
WG-0156,2
WG-0156,5
WG-0157,1
WG-0157,2
WG-0157,17
WG-0158,17
WG-0158,316
WG-0159,1
WG-0159,2
WG-0160,5
WG-0161,5
WG-0161,13
WG-0162,1
WG-0162,2
WG-0163,173
WG-0164,4
WG-0165,1
WG-0165,173
WG-0165,4
WG-0166,329
WG-0166,133
WG-0167,1
WG-0167,4
WG-0168,1
WG-0169,10
WG-0170,10
WG-0171,128
WG-0172,1
WG-0172,13
WG-0173,133
WG-0173,13
WG-0174,1
WG-0174,128
WG-0175,2
WG-0175,128
WG-0176,173
WG-0177,173
WG-0178,1
WG-0178,2
WG-0178,13
WG-0179,1
WG-0179,2
WG-0180,1
WG-0180,2
WG-0181,1
WG-0182,13
WG-0182,3
WG-0182,133
WG-0183,1
WG-0183,2
WG-0183,4
WG-0184,1
WG-0184,2
WG-0184,173
WG-0185,128
WG-0185,13
WG-0185,366
WG-0186,5
WG-0186,173
WG-0186,369
WG-0187,1
WG-0187,128
WG-0188,2
WG-0188,13
WG-0189,1
WG-0189,5
WG-0190,13
WG-0191,369
WG-0192,1
WG-0192,379
WG-0193,1
WG-0194,1
WG-0194,382
WG-0195,383
WG-0196,126
WG-0197,4
WG-0197,1
WG-0197,2
WG-0198,1
WG-0198,128
WG-0199,5
WG-0199,13
WG-0200,13
WG-0200,393
WG-0201,1
WG-0201,128
WG-0202,396
WG-0203,397
WG-0203,133
WG-0204,4
WG-0204,400
WG-0205,4
WG-0206,4
WG-0207,13
WG-0208,404
WG-0209,405
WG-0210,3
WG-0210,393
WG-0211,408
WG-0212,409
WG-0213,2
WG-0214,2
WG-0215,2
WG-0215,1
WG-0216,1
WG-0216,415
WG-0217,2
WG-0218,13
WG-0219,1
WG-0219,419
WG-0219,133
WG-0220,5
WG-0221,2
WG-0222,13
WG-0223,13
WG-0224,1
WG-0224,2
WG-0225,427
WG-0226,1
WG-0226,2
WG-0226,128
WG-0227,2
WG-0228,1
WG-0229,128
WG-0230,2
WG-0230,13
WG-0231,436
WG-0232,17
WG-0232,260
WG-0233,10
WG-0234,440
WG-0235,1
WG-0236,5
WG-0237,17
WG-0238,444
WG-0239,1
WG-0240,5
WG-0240,17
WG-0241,17
WG-0241,449
WG-0242,10
WG-0243,10
WG-0243,260
WG-0244,4
WG-0244,454
WG-0245,13
WG-0245,456
WG-0246,4
WG-0246,458
WG-0247,4
WG-0248,4
WG-0248,5
WG-0248,462
WG-0249,128
WG-0249,5
WG-0249,13
WG-0250,466
WG-0251,467
WG-0252,83
WG-0253,2
WG-0253,5
WG-0254,5
WG-0254,472
WG-0255,5
WG-0256,5
WG-0256,10
WG-0257,4
WG-0257,2
WG-0257,10
WG-0258,479
WG-0259,3
WG-0259,481
WG-0260,3
WG-0260,133
WG-0261,484
WG-0262,173
WG-0263,133
WG-0264,133
WG-0265,4
WG-0265,489
WG-0266,4
WG-0267,4
WG-0268,13
WG-0268,29
WG-0269,1
WG-0269,2
WG-0269,5
WG-0270,3
WG-0270,4
WG-0271,3
WG-0272,1
WG-0272,2
WG-0272,5
WG-0272,13
WG-0273,5
WG-0273,505
WG-0274,5
WG-0274,13
WG-0275,13
WG-0275,133
WG-0276,13
WG-0277,2
WG-0277,1
WG-0277,5
WG-0278,5
WG-0278,13
WG-0279,2
WG-0279,1
WG-0280,1
WG-0280,519
WG-0281,5
WG-0281,133
WG-0282,5
WG-0282,13
WG-0283,3
WG-0283,13
WG-0284,526
WG-0285,4
WG-0285,3
WG-0285,5
WG-0285,13
WG-0286,531
WG-0287,532
WG-0288,4
WG-0288,3
WG-0288,535
WG-0289,5
WG-0289,4
WG-0290,2
WG-0291,3
WG-0292,83
WG-0293,541
WG-0294,83
WG-0295,1
WG-0295,3
WG-0295,393
WG-0296,2
WG-0296,1
WG-0297,1
WG-0297,17
WG-0297,2
WG-0298,133
WG-0299,5
WG-0300,4
WG-0300,1
WG-0300,2
WG-0301,4
WG-0301,393
WG-0302,13
WG-0302,133
WG-0303,5
WG-0303,1
WG-0303,393
WG-0304,4
WG-0304,13
WG-0304,5
WG-0305,13
WG-0306,5
WG-0306,13
WG-0306,4
WG-0307,13
WG-0307,571
WG-0308,5
WG-0308,4
WG-0309,5
WG-0310,133
WG-0311,5
WG-0311,13
WG-0312,4
WG-0312,1
WG-0313,133
WG-0314,83
WG-0315,5
WG-0315,3
WG-0316,5
WG-0316,128
WG-0317,1
WG-0318,1
WG-0319,1
WG-0319,17
WG-0320,1
WG-0320,17
WG-0321,1
WG-0321,260
WG-0322,1
WG-0322,2
WG-0323,13
WG-0324,5
WG-0324,3
WG-0324,4
WG-0325,3
WG-0325,4
WG-0326,4
WG-0326,603
WG-0327,604
WG-0328,17
WG-0328,133
WG-0329,17
WG-0330,3
WG-0330,133
WG-0331,3
WG-0331,611
WG-0332,3
WG-0333,3
WG-0334,4
WG-0335,133
WG-0336,133
WG-0337,133
WG-0338,3
WG-0339,619
WG-0340,620
WG-0341,621
WG-0341,622
WG-0342,133
WG-0343,5
WG-0343,13
WG-0344,126
WG-0345,5
WG-0346,5
WG-0347,629
WG-0348,630
WG-0349,631
WG-0350,632
WG-0351,128
WG-0351,481
WG-0352,128
WG-0353,128
WG-0354,128
WG-0354,638
WG-0355,128
WG-0355,481
WG-0356,128
WG-0356,13
WG-0357,128
WG-0358,128
WG-0359,128
WG-0360,1
WG-0360,128
WG-0361,1
WG-0362,1
WG-0362,260
WG-0363,1
WG-0364,1
WG-0365,1
WG-0365,654
WG-0366,1
WG-0367,656
WG-0368,4
WG-0368,128
WG-0369,4
WG-0370,4
WG-0370,133
WG-0371,662
WG-0371,663
WG-0372,17
WG-0372,260
WG-0373,133
WG-0374,133
WG-0375,668
WG-0376,668
WG-0377,668
WG-0378,668
WG-0379,668
WG-0380,668
WG-0381,674
WG-0382,674
WG-0383,17
WG-0383,677
WG-0384,17
WG-0384,679
WG-0385,17
WG-0385,677
WG-0386,17
WG-0386,679
WG-0387,17
WG-0387,679
WG-0388,17
WG-0388,679
WG-0389,688
WG-0390,688
WG-0391,688
WG-0392,688
WG-0393,688
WG-0394,688
WG-0394,694
WG-0395,688
WG-0396,688
WG-0396,697
WG-0397,688
WG-0397,126
WG-0398,688
WG-0399,688
WG-0400,688
WG-0401,703
WG-0401,704
WG-0402,703
WG-0402,706
WG-0403,703
WG-0403,708
WG-0404,703
WG-0404,708
WG-0405,703
WG-0406,703
WG-0406,260
WG-0407,703
WG-0407,715
WG-0408,703
WG-0408,717
WG-0409,703
WG-0409,679
WG-0410,4
WG-0411,721
WG-0412,721
WG-0413,721
WG-0413,295
WG-0414,721
WG-0414,170
WG-0415,721
WG-0416,721
WG-0417,126
WG-0418,730
WG-0419,731
WG-0419,732
WG-0420,731
WG-0421,731
WG-0422,735
WG-0422,736
WG-0422,29
WG-0423,738
WG-0424,731
WG-0425,126
WG-0426,731
WG-0427,731
WG-0428,731
WG-0428,744
WG-0429,745
WG-0430,731
WG-0431,747
WG-0431,748
WG-0432,747
WG-0433,747
WG-0434,126
WG-0435,752
WG-0436,126
WG-0437,731
WG-0438,731
WG-0439,126
WG-0440,757
WG-0440,731
WG-0441,731
WG-0442,731
WG-0443,757
WG-0443,731
WG-0444,731
WG-0445,126
WG-0446,126
WG-0447,747
WG-0448,747
WG-0449,747
WG-0450,769
WG-0451,731
WG-0451,771
WG-0452,747
WG-0452,773
WG-0453,731
WG-0454,747
WG-0454,776
WG-0455,777
WG-0456,778
WG-0457,748
WG-0458,780
WG-0459,731
WG-0459,782
WG-0460,783
WG-0461,783
WG-0462,679
WG-0463,786
WG-0464,787
WG-0464,788
WG-0465,126
WG-0466,126
WG-0467,126
WG-0468,126
WG-0469,793
WG-0470,794
WG-0471,794
WG-0472,794
WG-0473,369
WG-0473,798
WG-0474,794
WG-0475,794
WG-0476,794
WG-0477,794
WG-0478,794
WG-0479,369
WG-0480,794
WG-0481,794
WG-0482,794
WG-0483,794
WG-0484,809
WG-0485,809
WG-0486,809
WG-0487,809
WG-0488,809
WG-0489,809
WG-0490,809
WG-0491,809
WG-0492,809
WG-0492,295
WG-0493,809
WG-0493,697
WG-0494,809
WG-0495,809
WG-0495,823
WG-0496,809
WG-0497,809
WG-0498,809
WG-0499,809
WG-0499,295
WG-0500,809
WG-0501,809
WG-0502,809
WG-0502,260
WG-0503,809
WG-0504,809
WG-0505,809
WG-0506,836
WG-0507,836
WG-0508,836
WG-0509,836
WG-0510,836
WG-0511,836
WG-0512,836
WG-0513,836
WG-0513,248
WG-0514,836
WG-0515,836
WG-0516,836
WG-0517,836
WG-0518,836
WG-0519,836
WG-0520,836
WG-0521,836
WG-0522,836
WG-0522,170
WG-0523,836
WG-0523,856
WG-0524,857
WG-0525,857
WG-0526,857
WG-0527,857
WG-0528,857
WG-0529,857
WG-0530,857
WG-0531,857
WG-0532,857
WG-0532,866
WG-0533,857
WG-0533,866
WG-0534,857
WG-0535,857
WG-0535,866
WG-0536,857
WG-0537,857
WG-0538,857
WG-0539,857
WG-0540,857
WG-0541,857
WG-0542,857
WG-0543,857
WG-0544,857
WG-0545,857
WG-0546,882
WG-0547,882
WG-0547,884
WG-0548,882
WG-0549,882
WG-0550,882
WG-0551,882
WG-0552,882
WG-0553,882
WG-0554,882
WG-0555,882
WG-0556,882
WG-0556,894
WG-0557,882
WG-0558,882
WG-0559,882
WG-0560,882
WG-0560,379
WG-0561,882
WG-0562,882
WG-0563,882
WG-0564,882
WG-0564,904
WG-0565,882
WG-0566,882
WG-0566,260
WG-0567,908
WG-0568,908
WG-0569,908
WG-0570,908
WG-0571,908
WG-0571,170
WG-0572,914
WG-0572,915
WG-0573,914
WG-0574,914
WG-0575,914
WG-0576,914
WG-0577,914
WG-0577,921
WG-0578,914
WG-0578,884
WG-0579,914
WG-0580,914
WG-0580,260
WG-0581,914
WG-0582,914
WG-0583,914
WG-0584,914
WG-0585,914
WG-0586,914
WG-0587,914
WG-0588,915
WG-0588,866
WG-0589,915
WG-0590,915
WG-0591,915
WG-0592,915
WG-0593,915
WG-0593,857
WG-0594,915
WG-0595,915
WG-0596,856
WG-0596,173
WG-0597,856
WG-0597,173
WG-0598,856
WG-0598,173
WG-0599,856
WG-0599,173
WG-0600,856
WG-0600,173
WG-0601,856
WG-0601,173
WG-0602,856
WG-0602,173
WG-0603,856
WG-0603,173
WG-0604,856
WG-0604,173
WG-0605,856
WG-0605,173
WG-0606,856
WG-0606,170
WG-0607,856
WG-0607,170
WG-0608,856
WG-0609,856
WG-0609,173
WG-0610,856
WG-0610,173
WG-0611,856
WG-0611,173
WG-0612,856
WG-0612,173
WG-0613,856
WG-0613,173
WG-0614,856
WG-0614,173
WG-0615,856
WG-0615,173
WG-0616,856
WG-0616,173
WG-0617,856
WG-0618,856
WG-0618,260
WG-0619,856
WG-0619,260
WG-0620,856
WG-0620,260
WG-0621,856
WG-0622,856
WG-0622,173
WG-0623,856
WG-0623,173
WG-0624,856
WG-0624,173
WG-0625,856
WG-0625,260
WG-0626,856
WG-0627,856
WG-0627,1003
WG-0628,856
WG-0628,904
WG-0629,856
WG-0629,904
WG-0630,856
WG-0630,904
WG-0631,856
WG-0631,173
WG-0632,1012
WG-0633,1012
WG-0633,1014
WG-0634,1012
WG-0634,1016
WG-0635,1012
WG-0635,1016
WG-0636,1012
WG-0637,1012
WG-0638,1012
WG-0639,1012
WG-0640,1012
WG-0641,1012
WG-0642,1012
WG-0643,1012
WG-0644,1027
WG-0645,1027
WG-0645,1029
WG-0646,1027
WG-0647,1027
WG-0648,1027
WG-0649,1027
WG-0650,1027
WG-0650,706
WG-0651,1027
WG-0652,1027
WG-0653,1027
WG-0654,1027
WG-0655,1027
WG-0656,1027
WG-0657,1027
WG-0658,1027
WG-0659,1044
WG-0660,1044
WG-0661,1044
WG-0662,1044
WG-0663,1044
WG-0664,1044
WG-0665,1044
WG-0666,1044
WG-0667,1044
WG-0668,1044
WG-0669,1044
WG-0670,1044
WG-0671,1044
WG-0672,1044
WG-0673,1044
WG-0674,1044
WG-0675,1044
WG-0675,1061
WG-0676,1044
WG-0677,1044
WG-0677,1064
WG-0678,1044
WG-0679,1044
WG-0680,1044
WG-0681,1044
WG-0682,1044
WG-0683,1044
WG-0684,1044
WG-0685,1044
WG-0686,1073
WG-0687,1073
WG-0687,823
WG-0688,1073
WG-0688,894
WG-0689,1073
WG-0690,1073
WG-0690,1080
WG-0691,1073
WG-0692,1073
WG-0692,260
WG-0693,1084
WG-0694,1084
WG-0695,1084
WG-0696,1084
WG-0697,1084
WG-0698,1084
WG-0699,1084
WG-0700,1084
WG-0701,1084
WG-0702,1084
WG-0703,1084
WG-0704,1084
WG-0705,1084
WG-0706,1084
WG-0707,1084
WG-0708,1084
WG-0709,1084
WG-0710,1084
WG-0711,1084
WG-0712,1084
WG-0712,894
WG-0713,894
WG-0714,1084
WG-0715,10
WG-0716,10
WG-0717,10
WG-0718,10
WG-0719,10
WG-0720,10
WG-0721,10
WG-0722,10
WG-0723,10
WG-0724,10
WG-0725,10
WG-0726,704
WG-0727,1119
WG-0728,1119
WG-0729,1119
WG-0730,1119
WG-0731,1119
WG-0732,1119
WG-0733,1119
WG-0734,1119
WG-0735,1119
WG-0736,369
WG-0737,1129
WG-0738,1129
WG-0739,1129
WG-0740,1129
WG-0741,1129
WG-0742,1129
WG-0743,1129
WG-0744,1129
WG-0745,1129
WG-0746,1129
WG-0747,1129
WG-0748,1129
WG-0749,1129
WG-0750,1129
WG-0751,1129
WG-0752,1129
WG-0753,1129
WG-0754,1129
WG-0755,1129
WG-0756,1129
WG-0757,1129
WG-0758,1129
WG-0759,1129
WG-0760,1129
WG-0761,1129
WG-0762,1129
WG-0763,1129
WG-0764,1129
WG-0765,1129
WG-0766,1129
WG-0767,1129
WG-0768,1129
WG-0769,1161
WG-0770,1161
WG-0771,1161
WG-0772,1161
WG-0773,1161
WG-0774,1161
WG-0775,1161
WG-0776,1161
WG-0777,1161
WG-0778,1161
WG-0779,1161
WG-0780,1161
WG-0781,1161
WG-0782,1161
WG-0783,1175
WG-0784,1175
WG-0785,1175
WG-0786,1175
WG-0787,1179
WG-0788,1175
WG-0789,1175
WG-0790,1182
WG-0791,1182
WG-0792,1182
WG-0793,1182
WG-0794,1182
WG-0795,1182
