term,phase,type,ruleset_scope,frequency,definition,abbreviation_or_aliases,usage_example_or_mechanical_role,source_family,source_url
Listed Information,v19,generic design concept,Cross-genre,medium,"A parameter written into a rule name or profile entry and replaced by a specific trait, class or other value when the rule is assigned.",parameterised rule; placeholder parameter,Lets one reusable rule family key off a named category rather than requiring separate rules.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Stacking Special Rules,v19,generic design concept,Cross-genre,medium,"A policy governing whether repeated instances of the same special rule combine, overlap or provide no extra benefit.",effect stacking; stacking rule,Defines how duplicate effects interact and prevents ambiguous cumulative bonuses.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Autonomous Explosive,v19,game-specific label,Naval / science-fantasy,low,A self-contained explosive game piece that triggers when an eligible enemy contacts it and is then removed.,contact mine; autonomous mine,Creates a mobile/contact-triggered hazard rather than a conventional attack.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Auxiliary Mine Layer,v19,game-specific label,Naval,low,A limited mine-deployment capability used during deployment rather than as a normal recurring weapon system.,deployment mine layer,Adds pre-game area denial without granting full mine-laying capability.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Breaching Drill,v19,game-specific label,Naval / siege,low,A specialised ramming or breaching system that replaces part of the normal collision resolution with its own attack procedure.,ram drill; breaching ram,Models purpose-built penetration equipment and alternative ram resolution.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Cloud Dive,v19,game-specific label,Aerial / naval,low,A special deployment method that places an aerial unit onto the battlefield away from enemies and marks it as newly arrived.,airborne insertion; special aerial deployment,Provides deep deployment with arrival-state restrictions.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Deceptive Deployment,v19,generic design concept,Cross-genre,medium,"A deployment ability that allows a previously placed unit to be removed and deployed again, potentially changing its deployment state.",redeployment; deployment feint,Represents misinformation or feints by allowing placement decisions to be revised.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Flight Deck,v19,generic design concept,Naval / aerial,high,"A carrier facility that generates, launches or reallocates short-range aircraft or similar support assets.",air wing facility; carrier deck,Defines a parent platform's capacity to project subordinate aerial assets.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Flotsam,v19,generic design concept,Naval,medium,A rule that replaces a destroyed vessel or model with a wreck or debris marker when space permits.,wreck replacement; debris marker,Turns destroyed units into persistent battlefield terrain or hazards.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Ground Assault,v19,generic design concept,Combined arms / naval,high,An action that projects troops from a unit onto a territory or objective where their presence can contest or score it.,landing operation; troop assault,Connects transport assets to persistent territorial control.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Guardian Wing,v19,game-specific label,Aerial / naval,low,A defensive aircraft capability that improves interception against incoming air attacks and may permit interception without an existing support formation.,interceptor cover; defensive air patrol,Provides local anti-air protection through subordinate aircraft.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Heavy Transport,v19,generic design concept,Cross-genre transport,medium,A transport capability that allows an eligible reserve unit to arrive near the carrier instead of making its normal reserve arrival procedure.,carrier deployment; transported reserve,Links reserve arrival to a transport platform.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Landing Party Support,v19,generic design concept,Naval / objective play,medium,"A support ability that adds friendly presence to, or removes enemy presence from, a nearby territory after movement.",objective support; landing-party reinforcement,Allows nearby platforms to influence an objective without conducting a full assault.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Mine Layer,v19,generic design concept,Naval / modern,high,"A unit capability for placing minefield markers during deployment or play, normally subject to spacing and placement restrictions.",minelayer; mine deployment,Creates persistent area-denial hazards rather than resolving an immediate attack.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Mothership,v19,generic design concept,Naval / aerospace / science-fiction,medium,A parent platform that expands attachment capacity or allows associated units to enter play near it.,parent carrier; deployment hub,Makes one unit a deployment and force-organisation anchor for subordinate craft.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Raking Strike,v19,generic design concept,Aerial / naval,medium,"A pass-through attack made against a model crossed during movement, resolving after the movement path creates the attack opportunity.",strafing pass; fly-by attack,Couples movement path and attack eligibility.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Resupply Run,v19,generic design concept,Logistics / naval,high,A support mission that allocates temporary supply tokens to nearby friendly units for later recovery or replenishment.,supply mission; replenishment run,Models battlefield logistics as a discrete support action.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Take On Supplies,v19,generic design concept,Logistics,high,The act of consuming an allocated supply resource to remove disruption or attempt to clear a depleted-ammunition state.,resupply; replenish,Turns logistics tokens into recovery of readiness or ammunition.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Stockpile,v19,generic design concept,Logistics,high,A finite local reserve that can absorb depletion states from nearby units and later clear some of those stored depletion markers.,ammunition stockpile; supply cache,Represents limited local logistics capacity with an explicit exhaustion ceiling.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Transfer Munitions,v19,generic design concept,Logistics,high,A logistics procedure that moves an ammunition-depletion state from a supported unit onto a supply-bearing unit or stockpile.,ammunition transfer; rearm,Models ammunition redistribution separately from generic healing or repair.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Unexpected Arrival,v19,generic design concept,Deployment / reserves,medium,A reserve-arrival method that bypasses the normal arrival roll and permits flexible placement in exchange for temporary movement or action penalties.,automatic reserve arrival; surprise arrival,Trades reliable deep arrival for reduced immediate effectiveness.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
Coordinated Defences,v19,generic design concept,Defence / formation,high,A defensive mechanism where nearby models in the same unit contribute to the protection of the model being attacked.,mutual defence; pooled defence,Rewards formation integrity by pooling defensive capability.,Dystopian Wars v4.02 Rules Glossary,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf
