term,phase,type,ruleset_scope,frequency,definition,abbreviation,usage_example,source_family,source_url
Tactician,Command & control,Resource generation,Firefight,Low,Unit keyword that contributes command dice without necessarily granting full command authority.,,Designer use: Adds capacity to a command-resource pool.,FFREE22,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2022/05/Firefight-Free-Rules-kvv0xb.pdf
Recon Roll,Turn structure,Initiative determination,Firefight,Low,Pre-battle or opening test used to determine which side begins with initiative.,,Designer use: Determines initial initiative or first activation.,FFREE22,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2022/05/Firefight-Free-Rules-kvv0xb.pdf
Command Order,Command & control,Orders,Firefight,Medium,Order available through a particular commander or command model rather than the whole faction.,,Designer use: Spends command resources to apply commander-specific effects.,FFREE22,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2022/05/Firefight-Free-Rules-kvv0xb.pdf
In Play,Rules language,Game state,Firefight,Medium,State for a model or unit currently participating in the battle rather than destroyed or awaiting deployment.,,"Designer use: Defines eligibility for rules, resources and effects.",FFREE22,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2022/05/Firefight-Free-Rules-kvv0xb.pdf
Neutral Unit,Rules language,Allegiance,Firefight,Medium,Model or unit controlled by neither main player and given special interaction rules by the scenario.,,"Designer use: Represents civilians, creatures or other non-player battlefield actors.",FFREE22,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2022/05/Firefight-Free-Rules-kvv0xb.pdf
Leader Model,Organization,Unit role,Firefight,Medium,Designated model used as the reference point or authority figure within a multi-model unit.,,"Designer use: Provides measurement, removal or command reference for its unit.",FFREE22,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2022/05/Firefight-Free-Rules-kvv0xb.pdf
Sprint Action,Movement,Movement action,Firefight,Medium,High-speed movement action using the faster movement allowance of a unit.,,Designer use: Trades action opportunity for increased displacement.,FFREE22,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2022/05/Firefight-Free-Rules-kvv0xb.pdf
Advance Action,Movement,Movement action,Firefight,Medium,Standard movement action using a unit's normal movement allowance.,,Designer use: Provides ordinary tactical repositioning.,FFREE22,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2022/05/Firefight-Free-Rules-kvv0xb.pdf
Weight of Fire,Shooting,Dice manipulation,Firefight,Low,Rule representing concentrated fire by allowing a limited number of attack dice to be re-rolled or otherwise improved.,,Designer use: Improves reliability through volume rather than raw penetration.,FFREE22,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2022/05/Firefight-Free-Rules-kvv0xb.pdf
Exceptional Roll,Resolution & tests,Exceptional success threshold,Firefight,Medium,Fallback procedure for tests whose nominal success threshold lies beyond the normal die range.,,Designer use: Allows extreme difficulty without changing the core die type.,FFREE22,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2022/05/Firefight-Free-Rules-kvv0xb.pdf
Out-of-Game Spell,Special effect families,Magic timing,Frostgrave Second Edition,Medium,"Spell resolved outside the normal battle sequence, usually during campaign preparation or aftermath.",,Designer use: Moves magical effects into campaign or pre-battle procedure.,FROST-SPELL2,https://www.ospreypublishing.com/media/gcte53fp/spellcards_2nd-1.pdf
Self-Only Spell,Special effect families,Magic targeting,Frostgrave Second Edition,Medium,Spell whose legal target is the caster alone.,,Designer use: Restricts a magical effect to self-buffing or self-movement.,FROST-SPELL2,https://www.ospreypublishing.com/media/gcte53fp/spellcards_2nd-1.pdf
Touch Spell,Special effect families,Magic targeting,Frostgrave Second Edition,Medium,Spell requiring direct contact with its target rather than ranged targeting.,,Designer use: Makes positioning and adjacency part of spell delivery.,FROST-SPELL2,https://www.ospreypublishing.com/media/gcte53fp/spellcards_2nd-1.pdf
Area-Effect Spell,Special effect families,Magic targeting,Frostgrave Second Edition,Medium,Spell whose effect applies across an area or to multiple eligible figures rather than one target.,,Designer use: Applies one magical effect to a zone or group.,FROST-SPELL2,https://www.ospreypublishing.com/media/gcte53fp/spellcards_2nd-1.pdf
Casting Roll,Resolution & tests,Magic test,Frostgrave Second Edition,Medium,Test made to determine whether a spell is successfully cast and often how strongly it resolves.,,Designer use: Resolves spell success and may set a resistance threshold.,FROST-SPELL2,https://www.ospreypublishing.com/media/gcte53fp/spellcards_2nd-1.pdf
Will Roll,Resolution & tests,Resistance test,Frostgrave Second Edition,Medium,"Test using a will or mental-resistance characteristic to resist control, fear or magical effects.",,Designer use: Provides active resistance against mental or magical influence.,FROST-SPELL2,https://www.ospreypublishing.com/media/gcte53fp/spellcards_2nd-1.pdf
Active Spell,Special effect families,Persistent effect,Frostgrave Second Edition,Medium,"Previously cast spell whose effect remains in force until cancelled, expired or otherwise removed.",,Designer use: Tracks persistent magical state.,FROST-SPELL2,https://www.ospreypublishing.com/media/gcte53fp/spellcards_2nd-1.pdf
Spell Cancellation,Special effect families,Effect removal,Frostgrave Second Edition,Medium,"Ending an ongoing spell through its own condition, a counter-effect or voluntary cancellation.",,Designer use: Removes persistent magical state without necessarily undoing past consequences.,FROST-SPELL2,https://www.ospreypublishing.com/media/gcte53fp/spellcards_2nd-1.pdf
Temporary Warband Member,Deployment & army building,Temporary control,Frostgrave Second Edition,Medium,Figure that joins a force for a limited battle or duration rather than becoming a permanent roster member.,,Designer use: Adds temporary manpower without permanent recruitment.,FROST-SPELL2,https://www.ospreypublishing.com/media/gcte53fp/spellcards_2nd-1.pdf
Uncontrolled Creature,Turn structure,Autonomous actor,Frostgrave Second Edition,Medium,Creature not controlled by either player's normal activation authority and resolved by its own behaviour rules.,,Designer use: Creates autonomous battlefield behaviour.,FROST-SPELL2,https://www.ospreypublishing.com/media/gcte53fp/spellcards_2nd-1.pdf
Mine Sweeper,Terrain & battlefield,Obstacle clearance,Dystopian Wars,Medium,"Unit, model or system equipped to remove or neutralise minefield markers.",,Designer use: Provides specialist capability against mine obstacles.,DW4-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.0_W.pdf
Mine Clearance,Terrain & battlefield,Obstacle clearance,Dystopian Wars,Medium,Action or procedure used to remove a minefield from the play area.,,Designer use: Reduces or removes a persistent hazardous obstacle.,DW4-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.0_W.pdf
Participating Model,Rules language,Action participation,Dystopian Wars,Medium,Model within a unit that is specifically counted as contributing to a shared action.,,"Designer use: Defines which models add dice, mass or other values to a collective resolution.",DW4-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.0_W.pdf
Initial Target,Targeting & visibility,Target hierarchy,Dystopian Wars,Medium,First model selected as the principal target of an attack before secondary targets or area effects are resolved.,,"Designer use: Anchors targeting, visibility and secondary-effect geometry.",DW4-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.0_W.pdf
Positional Trait,Measurement & spatial,Spatial state,Dystopian Wars,Medium,"Trait describing the model's current positional domain, such as surface, airborne or submerged.",,Designer use: Controls interaction eligibility between different spatial layers.,DW4-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.0_W.pdf
Repair Facilities,Damage & morale,Damage control,Dystopian Wars,Medium,Support system that improves repair attempts made by nearby eligible models.,,Designer use: Provides local assistance to damage-control resolution.,DW4-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.0_W.pdf
Priority Signals,Command & control,Command override,Dystopian Wars,Low,Limited command-system effect that improves the strength or priority of another command effect.,,Designer use: Raises the chance or resistance threshold of a command intervention.,DW4-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.0_W.pdf
Mass Rating,Game data,Physical rating,Dystopian Wars,Medium,"Numeric rating representing a model's relative mass for collisions, grapples or mass-dependent effects.",,Designer use: Supplies a common physical scale for opposed movement and impact mechanics.,DW4-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.0_W.pdf
Shockwave Roll,Resolution & tests,Area disruption test,Dystopian Wars,Low,Action roll whose dice pool is derived from participating models' combined mass to inflict disruption at range.,,Designer use: Converts physical mass into a non-contact disruption attack.,DW4-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.0_W.pdf
Full Thrust,Movement,Movement state,Dystopian Wars,Medium,Temporary high-speed state gained by engaging boosted propulsion and lost when disrupted or at phase end.,,Designer use: Marks exceptional propulsion performance and its vulnerability to damage.,DW4-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.0_W.pdf
