term,phase,type,ruleset_scope,frequency,definition,abbreviation_or_aliases,mechanical_role,typical_value_unit,source_family,source_url
Game-Limited Campaign,v20,generic design concept,Campaign,medium,A campaign whose duration is defined by a fixed or randomly determined number of missions.,fixed-length campaign; mission-limited campaign,Campaign duration / end condition,missions,OnePageRules Campaign Rules v3.3.1,https://assets-global.website-files.com/636c3b6dcdb4eb2dce722889/66437b750a8cce922d4873a2_GF%20-%20Campaign%20Rules%20v3.3.1.pdf
Point-Limited Campaign,v20,generic design concept,Campaign,medium,A campaign that ends when a participant reaches a specified victory-point threshold.,VP-threshold campaign,Campaign duration / victory condition,victory points,OnePageRules Campaign Rules v3.3.1,https://assets-global.website-files.com/636c3b6dcdb4eb2dce722889/66437b750a8cce922d4873a2_GF%20-%20Campaign%20Rules%20v3.3.1.pdf
Time-Limited Campaign,v20,generic design concept,Campaign,medium,A campaign that ends after a specified number of real-world time periods rather than a fixed number of battles.,calendar campaign; timed campaign,Campaign duration / end condition,weeks or other time periods,OnePageRules Campaign Rules v3.3.1,https://assets-global.website-files.com/636c3b6dcdb4eb2dce722889/66437b750a8cce922d4873a2_GF%20-%20Campaign%20Rules%20v3.3.1.pdf
Endless Campaign,v20,generic design concept,Campaign,medium,"An open-ended campaign with no mandatory final round, usually retaining cumulative standings.",open campaign; ongoing campaign,Persistent campaign structure,ongoing VP or ranking,OnePageRules Campaign Rules v3.3.1,https://assets-global.website-files.com/636c3b6dcdb4eb2dce722889/66437b750a8cce922d4873a2_GF%20-%20Campaign%20Rules%20v3.3.1.pdf
Parallel Play,v20,generic design concept,Campaign,medium,"A campaign structure allowing participants to play different numbers of matches concurrently, with scoring adjusted to compensate.",parallel campaign play,Campaign scheduling / participation normalisation,matches and adjusted VP,OnePageRules Campaign Rules v3.3.1,https://assets-global.website-files.com/636c3b6dcdb4eb2dce722889/66437b750a8cce922d4873a2_GF%20-%20Campaign%20Rules%20v3.3.1.pdf
Late Joiner,v20,generic design concept,Campaign,medium,"A participant entering a campaign after it has begun, normally receiving defined starting resources or adjusted scoring.",mid-campaign entrant,Campaign participation / catch-up,army or campaign entry state,OnePageRules Campaign Rules v3.3.1,https://assets-global.website-files.com/636c3b6dcdb4eb2dce722889/66437b750a8cce922d4873a2_GF%20-%20Campaign%20Rules%20v3.3.1.pdf
Underdog Point,v20,game-specific label,Campaign / balancing,medium,A compensating resource awarded according to the value gap between weaker and stronger campaign forces and spent to modify rolls.,underdog resource; catch-up point,Campaign catch-up mechanic,points spent on roll modifiers,OnePageRules Campaign Rules v3.3.1,https://assets-global.website-files.com/636c3b6dcdb4eb2dce722889/66437b750a8cce922d4873a2_GF%20-%20Campaign%20Rules%20v3.3.1.pdf
No Permadeath,v20,generic design concept,Campaign,medium,An optional campaign mode in which a defeated unit is temporarily unavailable or loses progress instead of being permanently removed.,non-lethal campaign mode; temporary casualty mode,Campaign casualty severity option,matches missed / XP loss,OnePageRules Campaign Rules v3.3.1,https://assets-global.website-files.com/636c3b6dcdb4eb2dce722889/66437b750a8cce922d4873a2_GF%20-%20Campaign%20Rules%20v3.3.1.pdf
Skill Set,v20,generic design concept,Campaign / advancement,high,A bounded family of advancement traits from which a character gains abilities as it levels.,skill tree; advancement track,Structures character progression,traits / levels,OnePageRules Campaign Rules v3.3.1,https://assets-global.website-files.com/636c3b6dcdb4eb2dce722889/66437b750a8cce922d4873a2_GF%20-%20Campaign%20Rules%20v3.3.1.pdf
Disband Unit,v20,generic design concept,Campaign / force management,high,"A campaign action that permanently removes a unit from the roster, normally forfeiting its accumulated experience and upgrades.",retire unit; dismiss unit,Roster management / force turnover,unit,OnePageRules Campaign Rules v3.3.1,https://assets-global.website-files.com/636c3b6dcdb4eb2dce722889/66437b750a8cce922d4873a2_GF%20-%20Campaign%20Rules%20v3.3.1.pdf
Base Interval,v20,generic design concept,Historical / formation,high,The maximum permitted spacing between component bases that must remain mutually connected as a unit.,cohesion interval; base spacing,Formation cohesion and footprint control,distance,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
Deployment Area,v20,generic design concept,Historical / formation,medium,The contiguous area occupied by a formation and the permitted spacing around and between its component elements.,formation footprint,Defines the spatial footprint within which attached or supporting elements operate,area / distance,War Times Journal 1943 Rules,https://www.wtj.com/games/beta/1943/docu_rules_g.htm
