source_key,game_system,publisher_steward,source_type,url,notes
40K-QS,"Warhammer 40,000",Games Workshop,Official quick-start PDF,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf,"Movement, attack sequence, weapon profile fields, engagement, charge/fight and common weapon abilities."
AOS,Warhammer Age of Sigmar,Games Workshop,Official core-rules/glossary PDF,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf,"Large formal glossary; useful for rules-language, movement, combat, control, coherency and timing terminology."
INF-N5,Infinity N5,Corvus Belli,Official rulebook PDF,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf,"Attributes, target terminology, templates, Burst, States, deployment and weapon/equipment traits."
INF-WIKI,Infinity N5,Corvus Belli,Official rules wiki,https://infinitythewiki.com/Introduction,"Living reference for Line of Fire, Zone of Control, Silhouette, movement, rolls and unit profiles."
LEGION,Star Wars: Legion,Atomic Mass Games,Official core rulebook PDF,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf,"2026 rulebook; key concepts, actions, suppression, movement, attack pools, objectives and extensive keyword glossary."
MCP,Marvel: Crisis Protocol,Atomic Mass Games,Official rules hub,https://www.atomicmassgames.com/mcp-rules/,"Core rules and current references; movement sizes, range bands, attacks, throws/pushes, power and objective terminology."
MALIFAUX,Malifaux 4E,Wyrd Games,Official living rules glossary,https://malifauxrules.com/rules/sections/2-glossary,"Excellent glossary for model relations, actions, opposed/simple duels, targeting, controller/owner and encounter terms."
OPR,One Page Rules,One Page Rules,Community rules wiki,https://wiki.onepagerules.com/index.php/Grimdark_Future_Firefight_Special_Rules,"Compact vocabulary for weapon/unit tags such as Indirect, Reliable, Rending, Scout, Slow, Stealth, Strider and Tough."
KOW,Kings of War,Mantic Games,Official free-rules PDF,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2020/04/KoW-3-Free-Rules-Download.pdf,"Movement, Speed, charge/counter-charge, ranged/melee stats, damage and Nerve terminology."
BOLT,Bolt Action,Warlord Games,Official digital resources,https://warlord-community.warlordgames.com/bolt-action-third-edition-digital-resources/,"Third-edition resource hub; orders, pins, morale, movement and quick-reference language."
BOLT-REF,Bolt Action,Warlord Games,Official rules summary PDF (earlier edition),https://www.warlordgames.com/downloads/pdf/bolt_action_reference.pdf,"Useful cross-edition terminology reference for Fire, Advance, Run, Ambush, Rally, Down, Order Test and movement."
FOW,Flames of War,Battlefront Miniatures,Official starter reference PDF,https://www.flamesofwar.com/Portals/0/all_images/FortressEurope/StartHere/British-FoldOut.pdf,"Tactical/Dash movement bands, Cross, Rate of Fire, Anti-Tank, Firepower, armour and skill/motivation terms."
BT,BattleTech,Catalyst Game Labs / Sarna archive,Official-document archive and reference,https://www.sarna.net/files/docs/rules/official/,"Quick-start documents and record-sheet terminology including movement points, armour, internal structure and heat."
ARMCHAIR,Cross-system wargaming,Armchair Dragoons,Community-edited wargaming terminology glossary,https://armchairdragoons.com/wargaming-terms/,"Broad hobby/design terminology: AAR, area movement/control, chit pull, CRT, command control, hex-and-counter, SOP, stacking, scales and Igo-Ugo."
BA3-QRS,Bolt Action 3rd Edition,Warlord Games,Official quick-reference / playsheet PDF,https://warlord-community.warlordgames.com/wp-content/uploads/2025/01/Bolt_Action_Playsheet_A4.pdf,"Current order, movement, shooting, penetration, HE, close-quarters and weapon-abbreviation terminology."
40K11,"Warhammer 40,000 11th Edition",Games Workshop,Official core-rules PDF,https://assets.warhammer-community.com/eng_01-06_warhammer40k_new40k_core_rules-was6fbu1ix-hfewhmxyiy.pdf,"Current 11th-edition universal weapon abilities and attack terminology, including Anti, Blast, Assault and Cleave."
DUNNIGAN,Cross-system wargame design,James F. Dunnigan / Professional Wargaming,Wargame design handbook / technical glossary PDF,https://www.professionalwargaming.co.uk/Complete-Wargames-Handbook-Dunnigan.pdf,"Technical board-wargame terminology such as movement allowance, combat differential, direct fire, disrupted, overrun and logistics concepts."
GENERALSTAB,Cross-system wargaming,The General Staff Archives,Wargaming glossary,http://generalstab.org/home/glossary/,"Additional traditional hex-and-counter and simulation vocabulary, including CRT, DRM, odds and counter terminology."
WARMACHINE,WARMACHINE MKIV,Privateer Press,Official MKIV beta rules PDF,https://home.privateerpress.com/wp-content/uploads/2022/07/WM_MKIV_-Rules.pdf,"Control Range, battlegroup, focus/fury resources, Control/Maintenance phases, boosting, upkeep and related battlegroup terminology."
CONQUEST,Conquest: The Last Argument of Kings,Para Bellum Games,Official current rules hub / core rules,https://www.para-bellum.com/rules-and-faq/conquest-tlaok-rulebook-version-2-0/,"Current regiment-level terminology such as March, Wheel, Clash, Volley, stands, broken state and impact-style attacks."
XWING,Star Wars: X-Wing,Atomic Mass Games,Official rules and organised-play documents hub,https://www.atomicmassgames.com/xwing-docs/,"Template manoeuvres, barrel roll, boost, lock, overlap and token/state terminology."
BT-AS26,BattleTech: Alpha Strike,Catalyst Game Labs,Official Alpha Strike Quick-Start Rules PDF (2026 search-indexed edition),https://battletech.com/wp-content/uploads/2026/01/Alpha-Strike-Box-Set-Quick-Start-Rulebook-3rd-Print-12-29a.pdf,"Mech profile terminology: Point Value, TMM, Overheat Value, Heat Scale, shutdown, critical systems and range-bracket damage."
FIREFIGHT-FREE,Firefight 2nd Edition,Mantic Games,Official free rules PDF,https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2022/05/Firefight-Free-Rules-kvv0xb.pdf,"Keyword table and assault reactions including Blaze Away, Controlled Fire, Evade, Resilient, Tactician and Targeting Systems."
K47-QRS26,Konflikt '47,Warlord Games,Official quick-reference PDF,https://warlord-community.warlordgames.com/wp-content/uploads/2025/10/Konflikt47_Quick_Reference_071025_v2.pdf,"Order/Rift dice states, heroic stats and Rift weapon ability terminology."
BRS-CORE,Blood Red Skies,Warlord Games,Official mechanics article,https://warlord-community.warlordgames.com/climbing-for-advantage-blood-red-skies/,"Advantage state system, pilot actions, aircraft stats, tailing, climb, dive and outmanoeuvre."
BRS-FAQ,Blood Red Skies,Warlord Games,Official FAQ & errata PDF,https://warlord-community.warlordgames.com/wp-content/uploads/2022/02/BRS_Errata-FAQ_Feb2022.pdf,"Boom chits, multi-engine damage, deflection shots, turret firepower and squadron effects."
VAS-FAQ,Victory at Sea,Warlord Games,Official FAQ & errata PDF,https://warlord-community.warlordgames.com/wp-content/uploads/2021/04/VaS_FAQErrata_April-2021.pdf,"Naval profile and weapons terminology including Flank Speed, Hull, range bands, AD/AP/DD, traits, radar and torpedoes."
ACHTUNG-MOVE,Achtung Panzer!,Warlord Games,Official rules briefing article,https://warlord-community.warlordgames.com/initiative-and-movement-achtung-panzer/,"Initiative markers, radio checks, buttoned state, movement orders, tactical actions, crew tests, pivot and scoot."
CRUEL-BEGIN,Cruel Seas,Warlord Games,Official beginner rules article,https://warlord-community.warlordgames.com/sailing-cruel-seas-a-beginners-guide/,"Naval speed bands, wake markers, turning, collisions and weapon-system shooting."
SAILS-PREVIEW,Sails of Glory,Ares Games,Official standard-rules preview,https://www.aresgames.eu/7974,"Planned manoeuvres, Ship Log, Time to React, Veer, raking, broadsides, ammunition and reloading."
SAILS-ERRATA,Sails of Glory,Ares Games,Official errata/addenda,https://www.aresgames.eu/13238,"Struck Sails, Backing Sails and Entanglement terminology."
