system_id,system_name
1,40K
2,AoS
3,Malifaux
4,Infinity
5,Legion
10,Kings of War
13,MCP
17,Bolt Action
29,scenario games
51,terrain systems
83,All
120,card-driven games
126,Cross-system
128,OPR
133,Generic
141,some historical games
143,Bolt Action-style modifiers
145,Antares
147,Antares / historical designs
148,Artillery-style weapons
156,deployment rules
170,vehicle games
173,Flames of War
177,Vehicle and spaceship miniatures games
178,Scenario and control games
192,many scenarios
216,Malifaux-style terminology
227,Historical/skirmish games
239,Generic / many systems
242,Bolt Action uses the word after melee
248,many skirmish games
249,Generic sci-fi/fantasy term
258,terrain-heavy games
259,Bolt Action vehicles
260,historical games
261,Bolt Action / vehicle games
264,Generic across many games
276,Infinity and many skirmish games
281,40K-style terrain concepts
287,common concept
288,Legion and many historical games
292,Generic across many systems
295,sci-fi games
297,Bolt Action/Antares
298,Legion and artillery designs
303,MCP objective zones
316,weapon games
329,Antares-style games
366,Warmachine-style games
369,BattleTech
379,many systems
382,templates in many games
383,40K-style effects
393,many games
396,Generic miniature term
397,Warmachine-style terminology
400,older miniature systems
404,Warmachine/Infinity-style games
405,Malifaux-style/generic
408,Artillery and older template systems
409,Artillery-style games
415,Malifaux/MCP equivalents
419,vehicles
427,MCP and many systems
436,Generic/BattleTech-style
440,Conquest-style/common term
444,Bolt Action and historical games
449,Legion conceptually
454,MCP-style effects
456,Malifaux tokens
458,Legion token concepts
462,40K concept
466,Malifaux and many games
467,Generic skirmish term
472,40K-style designs
479,Malifaux and historical games
481,common
484,Historical/common
489,urban games
505,40K/MCP concepts
519,AoS Control is analogous
526,All scenario games
531,Legion and tournament systems
532,Generic matched-play term
535,broad
541,Tournament/scenario games
571,Legion uses the word in keywords
603,general
604,All dice games
611,Infinity face-to-face concept
619,Warhammer/Bolt Action etc.
620,Warhammer systems
621,40K charge
622,morale systems
629,OPR/common
630,Generic wargaming
631,OPR / generic
632,OPR-style/generic
638,MCP/Legion effects
654,generic concept
656,40K term
662,Bolt Action Ambush
663,common sci-fi term
668,"Warhammer 40,000"
674,Bolt Action 3rd Edition
677,historical skirmish games
679,historical wargames
688,WARMACHINE
694,many strategy games
697,skirmish games
703,Conquest
704,rank-and-flank games
706,historical mass battle
708,historical rank-and-flank
715,other miniatures games
717,fantasy mass battle
721,Star Wars: X-Wing
730,Solitaire wargames
731,Board wargames
732,hybrid miniatures games
735,Historical
736,insurgency
738,Traditional wargames
744,some miniatures systems
745,Historical wargaming
747,Hex-and-counter
748,traditional board wargames
752,Historical and operational wargames
757,Historical miniatures
769,Rank-and-flank miniatures
771,tactical simulations
773,area games
776,operational games
777,Tactical wargames
778,Tactical and operational wargames
780,Operational wargames
782,block games
783,Operational and strategic wargames
786,Simulation and roleplaying games
787,Tabletop wargames
788,roleplaying games
793,Professional/simulation wargaming
794,BattleTech: Alpha Strike
798,mech games
809,Firefight
823,fantasy games
836,Konflikt '47
856,Team Yankee
857,Blood Red Skies
866,aerial games
882,Victory at Sea
884,naval games
894,many wargames
904,modern games
908,Cruel Seas
914,Sails of Glory
915,Wings of Glory
921,Age-of-Sail games
1003,modern armour games
1012,Achtung Panzer!
1014,modern/historical armour
1016,tank games
1027,Hail Caesar
1029,mass battle games
1044,Warlords of Erehwon
1061,medieval games
1064,ancient games
1073,Age of Fantasy
1080,historical/fantasy games
1084,Star Wars: Legion
1119,BattleTech: BattleForce
1129,Infinity N5
1161,Dystopian Wars 4
1175,Grimdark Future: Warfleets
1179,Fleet wargames
1182,Dropfleet Commander
1195,Full Thrust
1197,Force on Force
1202,Chain of Command
1212,Chain of Command 2
1213,General d'Armee
1214,Napoleonic wargames
1223,Blood & Plunder
1232,02 Hundred Hours
1251,Crossfire
1253,many tactical games
1258,SEEKRIEG 5
1276,Bolt Action / General
1280,Warhammer 40K
1307,Modern General Quarters
1310,Harpoon
1314,Admiralty Trilogy
1332,Harpoon / Admiralty Trilogy
1337,Harpoon V
1344,naval and air combat
1347,sensor warfare
1359,Test of Honour
1369,Test of Honour: Sengoku
1370,Rommel
1380,many historical games
1388,Lasalle Second Edition
1400,Blücher
1411,Longstreet
1418,Regimental Fire and Fury
1449,Flightwing Commander
1469,Flightwing Commander / Dropzone Commander
1473,Dropzone Commander: Operation Artemis
1475,Dropzone Commander
1476,Blood & Valor
1485,Blood & Bayonets
1510,Dystopian Wars
1533,OnePageRules Campaign Rules
1543,1943
1556,Fire and Fury Battlefront Engineering Playtest Rules
1566,MMP Tactical Combat Series Rules
1570,MMP Tactical Combat Series v4.02 Rules
1571,MMP Brazen Chariots Rules
1572,MMP Where Eagles Dare Exclusive Rules
1575,World at War 85 Core Rules 2.1
1577,Billy Yank 10mm ACW Rules
